 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + STAT2023-2 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2223-2 + CITS2023-2 + MATH1211-1 + PHAR1121-2 + STAT1024-1 	 1 (2.0%) 
 ACCT1121-1 + ACCT2113-2 + CITS1021-1 + CITS1023-2 + CITS2023-2 + ECON1121-2 + FINA1221-1 + STAT1024-1 	 1 (2.0%) 
 CITS2211-2 + CITS2023-2 + CITS3224-1 + CITS3223-2 + CITS3021-1 + CITS3025-1 + GRMN1021-1 + STAT3260-2 	 1 (2.0%) 
 CITS2023-2 + ENSC3216-2 + ENSC3221-1 + FINA1129-2 	 1 (2.0%) 
 CITS1021-1 + CITS2023-2 + CITS3221-2 + ECON1124-1 + STAT2023-2 + SVLG1223-2 	 1 (2.0%) 
 CITS1023-2 + CITS2021-1 + CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3223-2 + CITS3025-1 + MUSC1250-1 	 1 (2.0%) 
 BIOL1134-1 + CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + PHAR1121-2 + PSYC1121-1 + STAT1023-2 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2023-2 + ECON1121-1 + ECON1124-1 + ECON2230-2 + GCRL1224-1 + STAT1023-2 	 1 (2.0%) 
 CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3225-1 	 1 (2.0%) 
 CARS1223-2AA + CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + GRMN1021-2 + MATH1724-1 + MATH1721-2 + STAT1024-1 	 1 (2.0%) 
 CITS2224-1 + CITS2023-2 + CITS3225-1 + CITS3220-2 + ECON1124-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2023-2 + ECON1124-1 + INMT2233-2 + PHIL1224-1 + STAT2021-1 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + CITS3025-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + MATH2221-1 + MATH2231-1 + STAT2023-2 + STAT3260-2 + STAT3025-1 	 1 (2.0%) 
 CITS2023-2 + ECON3324-1 + FINA3320-1 + STAT2021-1 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2023-2 + ECON2220-1 + SCIE2267-2 + STAT1024-1 	 1 (2.0%) 
 ACCT2331-1 + ACCT3323-2 + ACCT3323-2 + CITS1021-1 + CITS2023-2 + CITS3021-1 + MGMT1135-2 + STAT1524-1 + SVLG1224-Y3 	 1 (2.0%) 
 CITS2023-2 + ENSC2221-1 + ENSC2224-1 + ENSC3221-2 + ENSC3224-1 + ENSC3220-1 + ENSC3227-2 + MATH3225-2 	 1 (2.0%) 
 ACCT2114-1 + ACCT2331-1 + CITS2023-2 + CITS3021-1 + EMPL1121-2 + MUSC1981-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
